W_A,C_A,SM_A,SM_F,SM_C,SN_A,SN_F,SN_C,C,AlternativeID
10,10,10,1,2,50,3,2,250,246
10,10,10,1,2,50,3,2,1250,247
10,10,10,1,2,50,3,2,3500,248
10,10,10,1,2,50,3,3,50,249
10,10,10,1,2,50,3,3,250,250
10,10,10,1,2,50,3,3,1250,251
10,10,10,1,2,50,3,3,3500,252
10,10,10,1,2,80,1,1,50,253
10,10,10,1,2,80,1,1,250,254
10,10,10,1,2,80,1,1,1250,255
10,10,10,1,2,80,1,1,3500,256
10,10,10,1,2,80,1,2,50,257
10,10,10,1,2,80,1,2,250,258
10,10,10,1,2,80,1,2,1250,259
10,10,10,1,2,80,1,2,3500,260
10,10,10,1,2,80,1,3,50,261
10,10,10,1,2,80,1,3,250,262
10,10,10,1,2,80,1,3,1250,263
10,10,10,1,2,80,1,3,3500,264
10,10,10,1,2,80,2,1,50,265
10,10,10,1,2,80,2,1,250,266
10,10,10,1,2,80,2,1,1250,267
10,10,10,1,2,80,2,1,3500,268
10,10,10,1,2,80,2,2,50,269
10,10,10,1,2,80,2,2,250,270
10,10,10,1,2,80,2,2,1250,271
10,10,10,1,2,80,2,2,3500,272
10,10,10,1,2,80,2,3,50,273
10,10,10,1,2,80,2,3,250,274
10,10,10,1,2,80,2,3,1250,275
10,10,10,1,2,80,2,3,3500,276
10,10,10,1,2,80,3,1,50,277
10,10,10,1,2,80,3,1,250,278
10,10,10,1,2,80,3,1,1250,279
10,10,10,1,2,80,3,1,3500,280
10,10,10,1,2,80,3,2,50,281
10,10,10,1,2,80,3,2,250,282
10,10,10,1,2,80,3,2,1250,283
10,10,10,1,2,80,3,2,3500,284
10,10,10,1,2,80,3,3,50,285
10,10,10,1,2,80,3,3,250,286
10,10,10,1,2,80,3,3,1250,287
10,10,10,1,2,80,3,3,3500,288
10,10,10,1,3,10,1,1,50,289
10,10,10,1,3,10,1,1,250,290
10,10,10,1,3,10,1,1,1250,291
10,10,10,1,3,10,1,1,3500,292
10,10,10,1,3,10,1,2,50,293
10,10,10,1,3,10,1,2,250,294
10,10,10,1,3,10,1,2,1250,295
10,10,10,1,3,10,1,2,3500,296
10,10,10,1,3,10,1,3,50,297
10,10,10,1,3,10,1,3,250,298
10,10,10,1,3,10,1,3,1250,299
10,10,10,1,3,10,1,3,3500,300
10,10,10,1,3,10,2,1,50,301
10,10,10,1,3,10,2,1,250,302
10,10,10,1,3,10,2,1,1250,303
10,10,10,1,3,10,2,1,3500,304
10,10,10,1,3,10,2,2,50,305
10,10,10,1,3,10,2,2,250,306
10,10,10,1,3,10,2,2,1250,307
10,10,10,1,3,10,2,2,3500,308
10,10,10,1,3,10,2,3,50,309
